,Gender,Age,Education Level,Preferred Subjects,Least preferred Subjects,Hours per week for school,Educational Level parent_1,Educational Level parent_2,CRT_points,Use AI school and freetime,Used AI,Frequency of use education,Frequency of use everyday life,Use of AI in freetime,Usefullness AI,Deal with AI,Understanding AI,Internet terms_Spyware,Internet terms_Cache,Internet terms_Advanced Search,Internet terms_PDF,Internet terms_Phishing,Internet terms_Wiki,True/False_1,True/False_2,True/False_3,True/False_4,True/False_5,True/False_6,Reliability AI,Concerns AI,Teachers preparing lessons,Teachers giving grades,Mates using AI,Allowance to use AI,Frequency use of AI_school,Most used subjects,Purposes to use AI,Reasons to use AI,Help of AI,True_False_Score,Internet_Understanding_Score,Internet Understanding (Grouped),gender_Keine Angabe,gender_Männlich,gender_Weiblich,privacy_Ich habe darüber noch nie nachgedacht.,privacy_Ja,privacy_Nein
10,Weiblich,14,Sek A,"Zeichnen / Kunst, Musik","Mathematik / Geometrie, Englisch, Geschichte",0-1 Stunde pro Woche,Ich weiss es nicht,Matura,0,2,"ChatGPT,Microsoft Copilot,Meta AI (Whatsapp)",Nie,Nie,,Teils/teils,Weder gut noch schlecht,Eher gut,Kein Verständnis,Kein Verständnis,Kein Verständnis,Völliges Verständnis,Kein Verständnis,Völliges Verständnis,Falsch,Falsch,Wahr,Wahr,Ich weiss es nicht,Ich weiss es nicht,3,Ja,Neutral / Mir egal,Stört mich sehr,Manchmal,"Ja, für beides",Manchmal,Musik,Zusammenfassungen,,3.0,2,14,Schlechtes Verständnis,False,False,True,False,True,False
11,Männlich,13,Sek A,"Musik, Sport, Handarbeit / Werken","Geschichte, Religion und Kultur, Chemie",0-1 Stunde pro Woche,Abschluss eines Doktorat / Professur,Abschluss eines Doktorat / Professur,3,4,"ChatGPT,Gemini (Google),Meta AI (Whatsapp),My AI (Snapchat)",Oft,Manchmal,Verständnisfragen über Wissen im Alltag,Ziemlich nützlich,Sehr gut,Sehr gut,Kein Verständnis,Kein Verständnis,Kein Verständnis,Völliges Verständnis,Kein Verständnis,Völliges Verständnis,Falsch,Falsch,Falsch,Wahr,Ich verstehe die Frage nicht,Ich weiss es nicht,4,Nein,Neutral / Mir egal,Neutral / Mir egal,Oft,"Ja, für beides",Häufig,"Französisch, Geografie, Geschichte","Erklärungen,Ideenfindung / Kreative Ideen,Lerntechniken / Tipps wie man lernt,Vorbereiten von Vorträgen","Zeitersparnis,Als Prüfungsvorbereitung",4.0,3,14,Schlechtes Verständnis,False,True,False,False,False,True
12,Männlich,13,Sek A,"Kochen, Englisch, Musik","Geschichte, Religion und Kultur, Französisch",0-1 Stunde pro Woche,Abschluss eines Doktorat / Professur,Abschluss eines Doktorat / Professur,3,4,ChatGPT,Oft,Manchmal,Verständnisfragen über Wissen im Alltag,Ziemlich nützlich,Sehr gut,Sehr gut,Kein Verständnis,Kein Verständnis,Kein Verständnis,Völliges Verständnis,Kein Verständnis,Völliges Verständnis,Falsch,Falsch,Falsch,Wahr,Ich verstehe die Frage nicht,Ich weiss es nicht,4,Ich habe darüber noch nie nachgedacht.,Neutral / Mir egal,Neutral / Mir egal,Oft,"Ja, für beides",Häufig,"Französisch, Geografie, Geschichte","Zusammenfassungen,Erklärungen,Schreiben von Texten,Ideenfindung / Kreative Ideen,Vorbereiten von Vorträgen,Grammatik / Rechtschreibung","Zeitersparnis,Als Prüfungsvorbereitung",4.0,3,14,Schlechtes Verständnis,False,True,False,True,False,False
13,Männlich,13,Sek A,"Kochen, Sport","Deutsch, Französisch",2-5 Stunden pro Woche,Abschluss an einer Fachhochschule / Hochschule,Abschluss an einer Hochschule / Fachhochschule,2,1,,,,,,Eher gut,Eher gut,Kein Verständnis,Kein Verständnis,Mittelmässiges Verständnis,Gutes Verständnis,Schlechtes Verständnis,Völliges Verständnis,Falsch,Wahr,Falsch,Wahr,Wahr,Falsch,3,Nein,Neutral / Mir egal,Stört mich sehr,Manchmal,"Ja, für beides",Selten,Französisch,"Zusammenfassungen,Vorbereiten von Vorträgen","weniger Stress,Bessere Erklärungen als von den Lehrern",5.0,4,16,Mittelmässiges Verständnis,False,True,False,False,False,True
14,Weiblich,13,Sek A,"Geografie, Kochen, Sport","Mathematik / Geometrie, Geschichte, Religion und Kultur",Mehr als 5 Stunden pro Woche,Ich weiss es nicht,Ich weiss es nicht,3,3,ChatGPT,Nie,Nie,,Wenig nützlich,Weder gut noch schlecht,Weder gut noch schlecht,Kein Verständnis,Kein Verständnis,Kein Verständnis,Völliges Verständnis,Kein Verständnis,Kein Verständnis,Falsch,Ich weiss es nicht,Ich weiss es nicht,Ich weiss es nicht,Ich weiss es nicht,Ich weiss es nicht,2,Ja,Neutral / Mir egal,Stört mich sehr,Manchmal,Nur in der Schule,Nie,,,,,1,10,Kein Verständnis,False,False,True,False,True,False
15,Männlich,14,Sek A,"Kochen, Sport, Musik","Mathematik / Geometrie, Deutsch, Französisch",2-5 Stunden pro Woche,Ich weiss es nicht,Ich weiss es nicht,1,4,ChatGPT,Manchmal,Selten,Verständnisfragen über Wissen im Alltag,Teils/teils,Weder gut noch schlecht,Eher gut,Mittelmässiges Verständnis,Kein Verständnis,Kein Verständnis,Gutes Verständnis,Kein Verständnis,Kein Verständnis,Falsch,Ich weiss es nicht,Ich verstehe die Frage nicht,Wahr,Ich weiss es nicht,Ich weiss es nicht,4,Nein,Neutral / Mir egal,Stört mich sehr,Manchmal,"Ja, für beides",Manchmal,"Mathematik, Französisch, Geschichte","Erklärungen,Grammatik / Rechtschreibung",Für Fragen die ich nicht im Klassenraum stellen wollte,4.0,1,11,Schlechtes Verständnis,False,True,False,False,False,True
16,Männlich,13,Sek A,"Zeichnen / Kunst, Kochen, Sport","Französisch, Biologie, Chemie",2-5 Stunden pro Woche,Ich weiss es nicht,Ich weiss es nicht,0,5,"ChatGPT,Meta AI (Whatsapp),My AI (Snapchat)",Oft,Selten,"Verständnisfragen über Wissen im Alltag,Private Fragen zu persönlichen Themen",Sehr nützlich,Sehr gut,Eher gut,Kein Verständnis,Kein Verständnis,Kein Verständnis,Mittelmässiges Verständnis,Kein Verständnis,Kein Verständnis,Wahr,Wahr,Wahr,Wahr,Ich weiss es nicht,Ich weiss es nicht,4,Ich habe darüber noch nie nachgedacht.,Neutral / Mir egal,Stört mich sehr,Oft,"Ja, für beides",Häufig,"Musik, Deutsch, Geschichte","Zusammenfassungen,Erklärungen,Ideenfindung / Kreative Ideen,Lerntechniken / Tipps wie man lernt,Vorbereiten von Vorträgen","Zeitersparnis,Für Fragen die ich nicht im Klassenraum stellen wollte",5.0,0,8,Kein Verständnis,False,True,False,True,False,False
17,Männlich,13,Sek A,"Englisch, Kochen, Sport","Mathematik / Geometrie, Deutsch, Religion und Kultur",2-5 Stunden pro Woche,Ich weiss es nicht,Ich weiss es nicht,0,4,"ChatGPT,Gemini (Google)",Oft,Nie,,Ziemlich nützlich,Sehr gut,Eher gut,Kein Verständnis,Kein Verständnis,Kein Verständnis,Kein Verständnis,Kein Verständnis,Kein Verständnis,Wahr,Wahr,Wahr,Wahr,Ich weiss es nicht,Ich weiss es nicht,4,Ich habe darüber noch nie nachgedacht.,Neutral / Mir egal,Stört mich sehr,Oft,"Ja, für beides",Häufig,"Deutsch, Mathematik, Musik","Zusammenfassungen,Erklärungen,Ideenfindung / Kreative Ideen,Lerntechniken / Tipps wie man lernt,Vorbereiten von Vorträgen","Zeitersparnis,weniger Stress,Für Fragen die ich nicht im Klassenraum stellen wollte",5.0,0,6,Kein Verständnis,False,True,False,True,False,False
18,Männlich,14,Sek A,"Kochen, Sport, Musik","Mathematik / Geometrie, Französisch, Geschichte",2-5 Stunden pro Woche,Ich weiss es nicht,Ich weiss es nicht,2,4,ChatGPT,Manchmal,Selten,,Teils/teils,Weder gut noch schlecht,Eher gut,Kein Verständnis,Kein Verständnis,Kein Verständnis,Gutes Verständnis,Kein Verständnis,Schlechtes Verständnis,Wahr,Ich weiss es nicht,Ich weiss es nicht,Ich weiss es nicht,Wahr,Wahr,3,Ich habe darüber noch nie nachgedacht.,Finde ich gut,Neutral / Mir egal,Manchmal,Nur wenn die Lehrperson es ausdrücklich erlaubt,Manchmal,"Mathematik, Französisch, Geschichte",Grammatik / Rechtschreibung,Für Fragen die ich nicht im Klassenraum stellen wollte,3.0,1,10,Kein Verständnis,False,True,False,True,False,False
19,Weiblich,13,Sek A,"Mathematik / Geometrie, Sport, Französisch","Englisch, Geschichte, Religion und Kultur",0-1 Stunde pro Woche,Matura,Ich weiss es nicht,3,3,ChatGPT,Oft,Nie,,Ziemlich nützlich,Eher gut,Weder gut noch schlecht,Kein Verständnis,Kein Verständnis,Kein Verständnis,Mittelmässiges Verständnis,Kein Verständnis,Kein Verständnis,Falsch,Ich weiss es nicht,Ich weiss es nicht,Ich weiss es nicht,Ich weiss es nicht,Ich weiss es nicht,4,Ich habe darüber noch nie nachgedacht.,Neutral / Mir egal,Stört mich sehr,Oft,"Ja, für beides",Häufig,"Französisch, Englisch, Geschichte","Zusammenfassungen,Erklärungen,Schreiben von Texten,Ideenfindung / Kreative Ideen,Lerntechniken / Tipps wie man lernt,Vorbereiten von Vorträgen,Grammatik / Rechtschreibung","Zeitersparnis,weniger Stress,Als Prüfungsvorbereitung,Für Fragen die ich nicht im Klassenraum stellen wollte,Bessere Erklärungen als von den Lehrern",4.0,1,8,Kein Verständnis,False,False,True,True,False,False
20,Weiblich,13,Sek A,"Englisch, Zeichnen / Kunst, Musik","Mathematik / Geometrie, Französisch, Geschichte",0-1 Stunde pro Woche,Ich weiss es nicht,Ich weiss es nicht,3,3,ChatGPT,Selten,Nie,,Ziemlich nützlich,Eher gut,Weder gut noch schlecht,Kein Verständnis,Kein Verständnis,Kein Verständnis,Mittelmässiges Verständnis,Kein Verständnis,Kein Verständnis,Falsch,Ich verstehe die Frage nicht,Ich verstehe die Frage nicht,Ich weiss es nicht,Ich weiss es nicht,Ich weiss es nicht,3,Ich habe darüber noch nie nachgedacht.,Neutral / Mir egal,Stört mich sehr,Oft,"Ja, für beides",Manchmal,"Mathematik, Französisch, Englisch","Zusammenfassungen,Erklärungen,Schreiben von Texten,Ideenfindung / Kreative Ideen,Lerntechniken / Tipps wie man lernt,Vorbereiten von Vorträgen,Grammatik / Rechtschreibung","Zeitersparnis,weniger Stress,Als Prüfungsvorbereitung,Für Fragen die ich nicht im Klassenraum stellen wollte,Bessere Erklärungen als von den Lehrern",4.0,1,8,Kein Verständnis,False,False,True,True,False,False
21,Weiblich,14,Sek A,"Zeichnen / Kunst, Kochen, Handarbeit / Werken","Biologie, Religion und Kultur",2-5 Stunden pro Woche,Obligatorische Schule,Obligatorische Schule,0,3,ChatGPT,Selten,Manchmal,Verständnisfragen über Wissen im Alltag,Teils/teils,Weder gut noch schlecht,Eher wenig,Kein Verständnis,Kein Verständnis,Kein Verständnis,Mittelmässiges Verständnis,Kein Verständnis,Gutes Verständnis,Falsch,Ich weiss es nicht,Falsch,Wahr,Ich weiss es nicht,Falsch,3,Ja,Stört mich ein wenig,Stört mich sehr,Manchmal,"Ja, für beides",Manchmal,,Erklärungen,,3.0,3,11,Schlechtes Verständnis,False,False,True,False,True,False
22,Weiblich,13,Sek A,"Zeichnen / Kunst, Kochen, Handarbeit / Werken","Mathematik / Geometrie, Englisch, Geschichte",2-5 Stunden pro Woche,Ich weiss es nicht,Ich weiss es nicht,0,3,"Microsoft Copilot,Meta AI (Whatsapp),ChatGPT",Selten,Selten,"Erstellen von Bildern / Videos,Verständnisfragen über Wissen im Alltag",Teils/teils,Weder gut noch schlecht,Eher wenig,Kein Verständnis,Kein Verständnis,Kein Verständnis,Schlechtes Verständnis,Kein Verständnis,Gutes Verständnis,Falsch,Ich weiss es nicht,Wahr,Wahr,Ich weiss es nicht,Falsch,3,Ja,Stört mich ein wenig,Stört mich sehr,Manchmal,Nur wenn meine Eltern es erlauben,Manchmal,,"Erklärungen,Lerntechniken / Tipps wie man lernt",Zeitersparnis,3.0,2,10,Kein Verständnis,False,False,True,False,True,False
23,Männlich,13,Sek A,"Geografie, Sport","Französisch, Kochen, Handarbeit / Werken",2-5 Stunden pro Woche,Obligatorische Schule,Abschluss an einer Universität / ETH,0,1,,,,,,Weder gut noch schlecht,Weder gut noch schlecht,Kein Verständnis,Kein Verständnis,Mittelmässiges Verständnis,Mittelmässiges Verständnis,Kein Verständnis,Mittelmässiges Verständnis,Wahr,Falsch,Falsch,Wahr,Ich weiss es nicht,Ich weiss es nicht,3,Ich habe darüber noch nie nachgedacht.,Stört mich ein wenig,Stört mich sehr,Manchmal,Nur wenn die Lehrperson es ausdrücklich erlaubt,Nie,,,,,2,12,Schlechtes Verständnis,False,True,False,True,False,False
24,Männlich,13,Sek A,Mathematik / Geometrie,"Deutsch, Englisch, Französisch",2-5 Stunden pro Woche,Obligatorische Schule,Obligatorische Schule,0,2,"ChatGPT,Meta AI (Whatsapp)",Manchmal,Selten,Verständnisfragen über Wissen im Alltag,Teils/teils,Weder gut noch schlecht,Weder gut noch schlecht,Kein Verständnis,Kein Verständnis,Kein Verständnis,Mittelmässiges Verständnis,Kein Verständnis,Mittelmässiges Verständnis,Falsch,Wahr,Falsch,Falsch,Ich weiss es nicht,Ich weiss es nicht,2,Nein,Neutral / Mir egal,Stört mich ein wenig,Manchmal,Nur in der Schule,Manchmal,Informatik,"Erklärungen,Lerntechniken / Tipps wie man lernt,Grammatik / Rechtschreibung",Zeitersparnis,3.0,3,10,Kein Verständnis,False,True,False,False,False,True
25,Männlich,14,Sek A,"Informatik, Kochen, Sport","Französisch, Geschichte, Religion und Kultur",2-5 Stunden pro Woche,Abschluss an einer Universität oder ETH,Abschluss an einer Universität / ETH,2,2,"ChatGPT,Gemini (Google)",Nie,Manchmal,Erstellen von Bildern / Videos,Ziemlich nützlich,Eher gut,Eher gut,Kein Verständnis,Schlechtes Verständnis,Mittelmässiges Verständnis,Gutes Verständnis,Gutes Verständnis,Völliges Verständnis,Ich verstehe die Frage nicht,Falsch,Falsch,Wahr,Ich verstehe die Frage nicht,Falsch,4,Nein,Neutral / Mir egal,Neutral / Mir egal,Manchmal,Nur wenn die Lehrperson es ausdrücklich erlaubt,Nie,,,,,3,19,Mittelmässiges Verständnis,False,True,False,False,False,True
26,Männlich,14,Sek A,"Handarbeit / Werken, Musik, Kochen",Französisch,2-5 Stunden pro Woche,Berufsabschluss,Abschluss an einer Universität / ETH,0,4,ChatGPT,Selten,Oft,"Ernährung,Sport",Sehr nützlich,Eher gut,Weder gut noch schlecht,Kein Verständnis,Kein Verständnis,Kein Verständnis,Gutes Verständnis,Kein Verständnis,Mittelmässiges Verständnis,Falsch,Wahr,Falsch,Wahr,Wahr,Falsch,4,Nein,Finde ich gut,Neutral / Mir egal,Manchmal,"Ja, für beides",Selten,Geschichte,"Zusammenfassungen,Erklärungen,Ideenfindung / Kreative Ideen,Lerntechniken / Tipps wie man lernt","Als Prüfungsvorbereitung,Für Fragen die ich nicht im Klassenraum stellen wollte",4.0,4,11,Schlechtes Verständnis,False,True,False,False,False,True
27,Weiblich,13,Sek A,Sport,"Mathematik / Geometrie, Französisch, Religion und Kultur",2-5 Stunden pro Woche,Obligatorische Schule,Matura,0,3,ChatGPT,Oft,Nie,,Ziemlich nützlich,Weder gut noch schlecht,Eher wenig,Kein Verständnis,Kein Verständnis,Kein Verständnis,Völliges Verständnis,Kein Verständnis,Gutes Verständnis,Wahr,Ich weiss es nicht,Ich weiss es nicht,Wahr,Wahr,Ich weiss es nicht,4,Ich habe darüber noch nie nachgedacht.,Neutral / Mir egal,Stört mich ein wenig,Manchmal,"Ja, für beides",Häufig,"Mathematik, Deutsch, Französisch","Zusammenfassungen,Schreiben von Texten,Lerntechniken / Tipps wie man lernt,Vorbereiten von Vorträgen",Als Prüfungsvorbereitung,4.0,1,13,Schlechtes Verständnis,False,False,True,True,False,False
28,Männlich,13,Sek A,"Mathematik / Geometrie, Physik, Sport","Deutsch, Geschichte, Religion und Kultur",2-5 Stunden pro Woche,Abschluss an einer Universität oder ETH,Abschluss an einer Universität / ETH,1,2,ChatGPT,Selten,Nie,,Teils/teils,Eher gut,Eher gut,Kein Verständnis,Kein Verständnis,Mittelmässiges Verständnis,Mittelmässiges Verständnis,Kein Verständnis,Kein Verständnis,Wahr,Wahr,Falsch,Wahr,Ich verstehe die Frage nicht,Falsch,3,Ja,Stört mich ein wenig,Stört mich sehr,Oft,Nur wenn die Lehrperson es ausdrücklich erlaubt,Nie,,,,,2,10,Kein Verständnis,False,True,False,False,True,False
29,Männlich,13,Sek A,"Kochen, Sport, Musik","Mathematik / Geometrie, Geografie, Geschichte",2-5 Stunden pro Woche,Ich weiss es nicht,Ich weiss es nicht,0,2,"ChatGPT,Meta AI (Whatsapp)",Selten,Selten,Verständnisfragen über Wissen im Alltag,Teils/teils,Weder gut noch schlecht,Eher gut,Kein Verständnis,Kein Verständnis,Kein Verständnis,Kein Verständnis,Kein Verständnis,Gutes Verständnis,Ich weiss es nicht,Falsch,Falsch,Falsch,Ich verstehe die Frage nicht,Ich weiss es nicht,3,Ich habe darüber noch nie nachgedacht.,Neutral / Mir egal,Stört mich ein wenig,Oft,Nur wenn die Lehrperson es ausdrücklich erlaubt,Selten,Mathematik,"Zusammenfassungen,Lerntechniken / Tipps wie man lernt",Als Prüfungsvorbereitung,3.0,3,9,Kein Verständnis,False,True,False,True,False,False
30,Weiblich,13,Sek A,"Zeichnen / Kunst, Sport","Englisch, Geschichte, Informatik",0-1 Stunde pro Woche,Abschluss an einer Universität oder ETH,Abschluss an einer Hochschule / Fachhochschule,2,2,"ChatGPT,Gemini (Google)",Selten,Selten,Verständnisfragen über Wissen im Alltag,Ziemlich nützlich,Eher gut,Weder gut noch schlecht,Kein Verständnis,Schlechtes Verständnis,Gutes Verständnis,Gutes Verständnis,Gutes Verständnis,Gutes Verständnis,Falsch,Ich weiss es nicht,Falsch,Falsch,Wahr,Falsch,3,Ich habe darüber noch nie nachgedacht.,Neutral / Mir egal,Stört mich ein wenig,Manchmal,Nur wenn die Lehrperson es ausdrücklich erlaubt,Selten,Geschichte,Erklärungen,"Zeitersparnis,Bessere Erklärungen als von den Lehrern",2.0,5,19,Mittelmässiges Verständnis,False,False,True,True,False,False
